title,link,date,ma_pageviews,ma_uniqueviews,ma_avgloadtime,ga_pageviews,ga_uniqueviews,ga_avgloadtime
"Setup Jupyter with Py 2, 3, and R",https://evanwill.github.io/_drafts/notes/dual-python-notebook.html,2020-12,618,502,1.75,678,558,2.63
Transfer iPhone to Linux,https://evanwill.github.io/_drafts/notes/iphone-transfer.html,2020-12,291,269,0.81,325,300,0
Add more to Git Bash on Windows,https://evanwill.github.io/_drafts/notes/gitbash-windows.html,2020-12,85,83,2.07,111,106,2.35
Go-Go GH-Pages home,https://evanwill.github.io/go-go-ghpages-b/,2020-12,140,88,1.81,189,105,0
"Setup Jupyter with Py 2, 3, and R",https://evanwill.github.io/_drafts/notes/dual-python-notebook.html,2021-01,623,527,1.81,680,570,0.76
Transfer iPhone to Linux,https://evanwill.github.io/_drafts/notes/iphone-transfer.html,2021-01,344,313,0.7,429,392,2.04
Add more to Git Bash on Windows,https://evanwill.github.io/_drafts/notes/gitbash-windows.html,2021-01,120,114,1.81,137,129,0
Go-Go GH-Pages home,https://evanwill.github.io/go-go-ghpages-b/,2021-01,187,122,1.88,190,125,1.15
"Setup Jupyter with Py 2, 3, and R",https://evanwill.github.io/_drafts/notes/dual-python-notebook.html,2021-02,608,501,1.78,693,571,2.25
Transfer iPhone to Linux,https://evanwill.github.io/_drafts/notes/iphone-transfer.html,2021-02,266,238,0.98,297,266,2.13
Add more to Git Bash on Windows,https://evanwill.github.io/_drafts/notes/gitbash-windows.html,2021-02,152,139,0.7,177,160,1.9
Go-Go GH-Pages home,https://evanwill.github.io/go-go-ghpages-b/,2021-02,93,67,1.34,107,78,1.63